id,temp_2007,temp_2008,temp_2009,temp_2010,temp_2011,temp_2012,temp_2013,temp_2014,temp_2015,temp_2016,temp_2017,temp_2018
68368,18.8412704467773,18.6260690689087,19.4890031814575,18.8993449211121,19.2228932380676,19.388568878173803,19.2451782226562,19.7838048934937,19.9108276367188,19.7728934288025,19.6244192123413,19.1244196891785
68370,25.0631151199341,24.6458768844604,25.496745109558105,25.011432647705103,25.360868453979503,25.4836883544922,25.358080863952605,25.983080863952605,26.0475006103516,25.9460248947144,25.560112953186003,25.1970558166504
68377,25.2909088134766,24.775805473327605,25.454200744628896,24.9953355789185,25.4036798477173,25.7146072387695,25.5724191665649,26.275805473327605,26.066962242126497,25.953680992126497,25.772418975830103,25.5591382980347
68385,25.4570369720459,24.8474893569946,25.360596656799306,25.1576442718506,25.4784784317017,25.8939294815063,25.711203575134306,26.347488403320305,26.1805610656738,25.94748878479,25.8814296722412,25.654086112976103
68397,25.6390829086304,25.0507154464722,25.5428161621094,25.3323993682861,25.679100036621104,26.0774507522583,25.8707666397095,26.5407333374023,26.3686838150024,26.131183624267603,26.0803155899048,25.8591356277466
68406,23.1623296737671,22.7565670013428,23.652661323547395,23.1882696151733,23.351257324218803,23.5683193206787,23.4638919830322,24.069881439209,24.1392774581909,24.169225692749,23.736515045166,23.2752151489258
68418,20.7452673912048,20.156205177307104,20.7419872283936,20.4705281257629,20.731725692749,21.1671433448792,21.0470905303955,21.6634964942932,21.4470901489258,21.2851119041443,21.171829700470003,20.8718304634094
68425,13.021228790283198,12.8114731311798,13.6081738471985,13.3037819862366,13.4477195739746,13.5531401634216,13.5358123779297,13.778929233551,14.1156024932861,14.056921958923304,13.8244071006775,13.3244071006775
68432,15.507513999939,15.2248358726501,16.0666761398315,15.7576284408569,15.8472909927368,16.016502380371097,15.9636178016663,16.359423637390098,16.499200820922898,16.4016318321228,16.2686729431152,15.7686729431152
68444,18.392692565918,17.7622241973877,18.4479012489319,18.1770677566528,18.4002442359924,18.8380045890808,18.7127447128296,19.2809734344482,19.120557308197,19.0127444267273,18.7627444267273,18.462745189666705
68464,18.9899687767029,18.5915379524231,19.42291164398189,19.1102886199951,19.218909740448,19.402729988098105,19.3497843742371,19.8880591392517,19.9211673736572,19.8087544441223,19.5831546783447,19.100472927093502
68468,17.1078567504883,16.7613534927368,17.6035404205322,17.2487320899963,17.4081315994263,17.5527601242065,17.4604511260986,17.9781699180603,18.0826110839844,17.981309413909898,17.791561603546103,17.2915616035461
68498,19.6261782646179,19.091889858245803,19.596161365509,19.31272315979,19.623139858245803,20.0420632362366,19.8305177688599,20.5305185317993,20.2981400489807,20.1157612800598,20.03355550765989,19.7335562705994
68500,19.725833415985104,19.171840190887497,19.6280035972595,19.380087375640898,19.729913234710697,20.1298270225525,19.8840794563293,20.6259202957153,20.381997108459498,20.1819968223572,20.1280026435852,19.8380732536316
68502,16.6980581283569,16.4231452941895,17.2434573173523,16.882684707641598,17.077451229095498,17.225489616394,17.1272149085999,17.5902457237244,17.802972316741897,17.698024272918698,17.467936992645303,16.967936992645303
68522,25.6579675674438,25.0788011550903,25.5579681396484,25.3360061645508,25.6577939987183,26.0848779678345,25.889998435974103,26.5827941894531,26.3358325958252,26.134877204895,26.0837488174438,25.7856588363647
