id,prec_2007,prec_2008,prec_2009,prec_2010,prec_2011,prec_2012,prec_2013,prec_2014,prec_2015,prec_2016,prec_2017,prec_2018
5001,228.09070396423348,304.69941075642885,202.3428192138672,252.2411286036172,290.6211884816487,194.97259076436364,201.03140481313065,189.46572748819997,149.3251053492228,170.8604119618735,192.81590906778976,215.53116162618008
5002,225.12517261505138,305.19883537292526,201.2588233947753,250.42005674044287,288.59181976318354,192.9001115163169,201.49402936299654,190.08528010050452,148.15271854400635,170.3625370661419,189.62665367126473,213.9865916570028
5004,211.95777225494373,284.39609336853016,180.66702461242684,219.66703844070435,256.38560740152997,174.35633405049634,182.99968051910398,169.5194390614827,133.27769120534262,154.81913057963047,182.6111195882161,194.35935274759933
5021,237.7973823547363,312.6742884318034,222.9650249481201,275.18819348017365,317.753319422404,216.3792928059896,218.07410939534523,199.52441215515137,163.79093297322575,182.09369532267246,203.08591461181626,231.36044915517172
5030,216.26004536946618,294.0444666544601,187.38642628987623,239.7459040482838,273.4269542694091,182.36906496683767,190.58021322886154,180.21202150980616,138.38666598002123,161.46295611063633,182.512326558431,202.97711372375485
5031,269.485147158305,332.5877768198647,249.18631935119643,312.4483324686685,360.6687978108723,252.6304718653363,237.37603823343917,215.02218755086264,182.2236261367797,197.8246269226075,228.3909098307291,254.58414618174228
5034,226.7169097264608,306.0746637980143,199.99027061462405,246.316596031189,289.66478220621735,199.04770215352391,202.1915136973063,196.22964350382483,147.51668771107984,169.22445805867508,194.0331172943116,211.47866884867358
5036,217.82098261515299,292.2629299163819,190.47813224792483,238.38573519388845,272.76445579528814,183.92551676432302,191.09379641215017,180.8383229573567,140.57816346486405,162.71624024709058,185.8136342366537,203.94304084777824
5038,236.65691312154135,305.34297307332344,214.4532108306886,265.1716745694479,309.1305751800538,210.07599067688,209.13497734069816,187.34253819783524,157.09657764434814,172.98165734608963,201.53021049499512,222.23462518056223
5040,287.49405638376874,342.8307997385662,253.4395281473796,324.1766554514566,376.54461860656755,262.81949424743664,240.9791259765625,217.67595227559414,185.49943129221606,205.7102890014647,238.32855733235684,259.29539426167804
5042,239.62340068817124,326.53196016947436,203.108102798462,258.3067630132038,295.6546376546225,198.8956915537517,206.68233998616532,193.28162956237784,149.74439779917395,175.06240145365396,202.03806114196792,222.293659845988
5044,229.10024929046622,305.5742715199794,198.07006518046066,248.56190872192386,286.36716461181635,192.5113658905029,201.52604484558114,189.39304351806638,144.8252204259237,169.351271947225,198.00864728291825,211.03506978352854
5045,261.5537277857463,270.828735669454,195.44793351491305,258.9123891194661,320.63490486145,209.40704631805409,194.49875259399417,188.32000668843568,155.08635457356777,184.832641283671,214.65666103363046,212.0285425186158
5051,196.1827351252239,157.69906552632645,110.49849971135467,187.62771002451578,206.0423004627227,130.85370922088634,120.7046383221945,107.2727176348367,91.03687874476105,116.68118111292529,131.93744134902948,133.61978117624915
5055,220.75111707051607,293.512467066447,205.17667071024573,255.76811750729883,292.845905939738,193.04519017537442,203.2506605784099,192.5257606506348,147.9668038686116,169.93537648518875,189.75443903605154,212.06181017557776
5059,202.72225093841553,275.9445393880208,174.12406667073574,221.65057396888736,248.706413269043,167.57231966654447,177.05903720855724,166.3369719187419,128.83701737721756,150.42512385050443,172.30413309733083,189.3932161331177
5079,228.67011896769216,303.2904624938964,210.52805646260595,260.92050139109284,300.9631525675457,202.54518953959146,207.6880133946737,190.55467859903965,155.36625321706137,172.14222780863432,194.08365758260086,221.61895720163977
5086,191.95919863382971,267.7293774286903,177.1955496470135,215.20477406183883,257.77664629618323,173.03272755940773,179.76071580251048,165.92933845520008,128.66694672902423,143.33715883890792,168.76475811004624,187.52818806966152
5088,214.42268498738622,290.0872408548991,191.04287719726565,236.13295539220167,270.51030604044604,182.22693316141772,190.91811879475907,176.42018191019682,140.23370520273843,160.40041605631504,182.2064781188965,201.975075085958
5091,207.13073889414474,278.76678276062023,178.75560442606604,225.85939200719193,261.64505449930834,176.79070409139013,181.62470722198475,174.72207895914698,131.29645792643205,154.06780846913662,176.25189463297536,191.30188433329263
5093,211.85918394724516,300.0798047383624,178.6685059865317,225.99466927846265,252.1036351521811,172.02371660868334,183.58069769541407,170.03868166605642,132.5112199783324,156.3402535120645,177.52152633666995,196.865361213684
5101,217.23132801055897,300.96821212768555,184.30388450622547,235.17093149820968,266.9084714253743,180.4924411773682,189.70725790659586,178.8381099700927,135.8087383906048,160.59031073252348,183.90020942687985,200.92781575520837
5107,271.67022323608404,334.34510008494084,230.19779205322254,287.2769079208374,344.04047266642254,230.76796499888096,224.83308124542236,200.94389724731437,169.60013771057132,190.71263567606618,224.71492576599118,240.43832969665525
5113,239.64139397939053,307.15486303965275,201.01812616984043,249.3656268119814,294.25377464294434,196.3055025736489,200.7244664827983,184.71735254923496,148.57170677185067,172.7684758504232,200.688256263733,214.21102873484298
5120,319.40326182047517,342.57684199015307,258.16425100962334,344.16645971933985,394.8349685668946,272.42414188385004,252.03070418039957,224.4029057820638,190.08479213714597,220.546442826589,258.3648945490518,275.6466601689656
5125,216.81546115875236,289.81332206726023,188.7983131408691,232.07930978139257,269.6035537719727,181.99757321675608,191.0725876490275,179.00947062174484,138.77010059356698,159.49855709075942,187.5984319051105,201.8394629160564
5129,218.53520711263016,294.320744832357,193.14181391398108,242.29946351051328,278.516242345174,186.37032063802084,194.75600210825596,183.82882626851395,142.3547477722168,163.77845668792727,185.88416608174632,205.97338612874344
5134,240.2500454584759,298.1235526402791,212.1752338409425,266.6044656435648,311.867582321167,215.5841077168784,204.18651994069435,183.2253621419271,154.3644425074259,173.22052987416578,201.16699600219738,221.49201138814297
5138,221.46191565195713,294.21757825215656,184.25686772664392,229.06253115336105,269.43788210550935,180.11099688212073,186.74753729502368,172.42533016204825,136.20395501454655,159.11577447255468,186.29442087809238,201.20264498392734
5142,236.71263949076334,300.4172102610269,223.24648793538427,287.94320170084643,325.60610198974615,222.92998250325533,215.0031671524047,195.39810625712076,164.98361714680976,182.24386914571133,200.24887720743823,228.3310915629069
5145,214.85797023773193,281.78974342346163,189.1759529113771,235.02968796094265,272.63562711079913,184.6093724568686,187.97237745920827,181.67587725321437,139.4566602706909,159.87167421976713,180.42176564534518,198.3852678934733
5147,261.2750956217448,275.13605817159004,194.79511737823472,245.96476904551182,317.1253846486409,205.78782844543468,194.61409791310635,184.17200215657567,155.9250872929891,181.9136877059935,214.07170104980457,211.6086711883545
5148,233.1395333607991,310.3167228698731,227.01744969685862,257.93743101755774,310.53055572509766,213.12243906656897,216.31114641825363,206.1785093943278,166.90229701995852,179.91095606486002,202.1025835673015,227.8760153452556
5150,227.85264905293778,297.7165819803873,210.46996180216476,257.5255993207294,298.3141365051269,204.6529788970948,203.6261533101401,183.14761606852213,153.5691417058309,168.573353767395,194.41152381896975,216.2605050404866
5154,248.64588324228907,256.1890885035197,194.75790627797446,280.7323025067648,302.46844546000153,211.8507235844929,193.49220784505198,171.29320653279623,148.2322816848756,172.35876671473181,202.5265576044718,210.61948251724243
5172,280.8751093546549,307.02825228373223,214.05522918701172,267.17741362253827,345.1459058125813,222.73090712229418,214.33504645029703,202.8242549896239,168.33410453796387,198.03486728668224,234.56198883056652,230.83959007263172
5190,247.2389761606852,326.1855869293214,231.44677225748694,288.15603431065875,329.3226598103843,225.26459821065262,227.6953172683717,203.54824256896975,168.66767247517896,186.4108921686808,210.77174504597983,238.40803527832023
5197,236.57400004069004,310.88985061645496,221.21596908569344,274.15214729309076,317.85881932576507,211.22407341003418,219.3514804840087,204.18349393208823,161.90706030527753,182.2798252105712,203.43779754638672,228.27549552917472
5206,226.8166672388713,300.79494984944677,209.71063041687003,260.8285522460938,299.73203722635895,201.8080717722576,206.7585484186809,188.65182622273758,153.51950613657638,172.6427408854167,192.64910252888998,219.04138946533203
5209,209.02147229512533,280.5452124277749,180.17801475524905,226.03775906562794,257.85567982991535,174.3332722981771,182.29021803538015,172.1453138987224,133.2912168502808,154.43514633178717,178.24319140116393,193.91399669647228
5212,228.35795211791984,307.0965264638269,202.44268226623524,254.0124120712281,290.3727372487384,195.1882960001627,201.34129333496094,187.35119946797695,149.66067504882812,170.35406907399494,191.55899937947592,217.01911449432373
5234,275.4439636866251,362.6345666249597,224.65157381693518,275.0012499491373,334.0443795522054,224.30047353108716,229.32654635111484,212.82564671834317,167.39271672566727,195.81596310933443,234.05999056498203,242.19883219401035
5237,208.93957678476977,279.1561381022137,190.9155464172364,235.65161196390792,272.7137463887531,184.1045138041178,189.8790553410848,173.9999580383301,139.9145377477011,156.20622412363693,178.63195864359542,199.7259019215901
5240,217.19909763336184,288.00399017333996,188.1587244669596,234.39312505722046,265.99614715576166,179.72023455301928,187.25335852305093,174.98507944742832,138.26628430684408,161.07675838470456,185.7515379587808,200.9509210586547
5250,331.8172976175944,367.9649569193521,267.04319445292145,404.01735480626434,421.91218694051105,294.78567186991387,266.5219491322836,235.19435373942073,203.16094652811697,231.0302279790243,267.8968143463136,290.14353624979645
5264,205.65752569834387,277.8462772369386,188.1877498626709,228.71294275919604,266.5541515350341,180.42354329427064,186.66201146443692,171.0212790171305,137.09011046091726,152.71228059132903,176.38617833455405,195.94685204823816
5266,213.22769927978516,286.45891698201496,190.90093994140636,238.852810382843,275.32499885559093,184.00494956970223,192.20240338643382,180.71824455261228,140.8113482793173,161.11389668782553,182.4320589701335,203.255065282186
5282,223.40392907460537,297.07742563883465,194.7220617930094,247.9498883883158,282.9893576304118,189.60240364074716,197.57795778910315,188.11362266540516,143.92118199666342,166.2173767089843,190.11985905965173,208.44382286071766
5284,265.37698523203534,363.8767471313479,221.54702377319322,276.0710247357687,320.3515803019205,219.70381927490237,231.58812268575045,215.54330444335938,162.540054957072,194.28242969512925,231.6737677256268,239.88187853495288
5306,218.0598208109537,288.2062619527183,188.42917633056638,231.7282155354817,269.77611351013195,181.66456095377612,190.5902659098308,175.8930969238281,138.58120218912765,159.6260811487835,187.90781084696462,200.53564262390137
5308,226.94210211435947,302.32994333903014,205.1390037536621,255.05187590916958,294.85147857666016,197.96799532572416,202.53370475769034,188.32840601603195,151.94916057586667,170.0066099166871,191.55499394734704,218.46911621093759
5310,238.16385618845618,310.3652083079019,222.4156545003256,272.4950364430746,314.97429466247576,217.10817591349291,214.33903026580813,192.46201515197743,162.46644210815418,177.84125550587964,204.47826385498058,229.30252075195324
5313,245.54609870910647,326.6153093973797,233.41359074910486,284.04129044214875,332.88531112670915,225.49453608194995,229.1689516703287,214.71772893269872,171.18812624613443,190.0041936238606,212.69458961486805,239.3510138193767
5315,246.57531356811515,318.2837880452474,226.95027923583982,281.849144935608,327.7866350809734,222.51546541849777,220.5443159739176,196.54292678833016,166.33584626515716,181.14596017201737,211.49667485555005,236.55834770202645
5318,216.6413265864053,290.2709433237712,195.44049580891928,245.2199740409849,280.2569459279377,187.73908551534024,195.63672765096032,181.18622779846189,143.35853703816744,164.22934150695798,184.41684532165516,206.49632326761875
5321,225.05208905537924,298.6887709299724,210.73225720723474,257.86110162734985,298.5309460957846,202.2190221150715,206.1309413909913,190.0976066589357,155.16982714335128,173.0336796442668,191.028470993042,218.9895896911619
5347,228.77516841888428,302.2830327351887,202.95151837666833,251.75339841842654,292.83034642537444,197.67627588907877,201.82572778065995,193.11672592163075,149.0647389094036,170.79493713378915,197.97602526346827,215.3197491963705
5353,204.90165774027494,283.53020731608086,175.31374549865708,220.82007829348242,251.38079071044925,169.9881140391033,178.29226334889734,168.5287596384686,129.2501853307087,152.17332140604663,172.24005889892592,191.94344997406017
5360,230.0871489842733,312.0472418467206,203.91923395792642,257.6379868189493,295.38125038146967,197.96062596638993,206.02619043986007,194.19786326090477,151.2003587086996,171.9253177642821,195.36077880859375,219.69897079467788
5361,255.9359928766888,302.1457363764445,212.35753695170084,265.38000615437824,329.0102812449137,218.9164142608643,209.2803862889608,186.8531970977784,155.87070782979342,177.40972518920913,213.83547019958507,224.96072705586755
5364,207.28510284423837,276.3301569620769,189.4624958038331,225.24825398127257,272.2381292978923,188.28865114847824,188.25857226053878,184.55441061655688,140.86132144927964,157.4947633743287,180.33889865875253,197.90837796529138
