municipal,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,age_0_to_4,age_5_to_14,age_15_to_29,age_30_and_up,illiterate,secondary_education,employed,unemployed,men,women,households_without_water_access,households_without_internet_access,houses_per_km2
puerto libertador,34265,34276,34386,34577,34806,35081,35484,36234,37470,39187,40716,41873,42835,7,44,41,30,14,62,81,55,20,12,11,150,49,9.32,24.13,26.14,40.42,12.9,39.98,26.69,6.58,51.84,48.16,44.73,82.83,5.43356
purisima de la concepcion,15481,15690,15912,16087,16268,16437,16623,16796,16948,17052,17094,17206,17411,0,6,3,2,2,3,12,20,1,3,0,4,6,7.98,18.22,25.06,48.75,13.89,51.0,21.98,7.7,50.59,49.41,39.07,88.14,29.977273
sahagun,91716,92890,94089,95290,96451,97488,98692,100185,102088,104237,105980,107636,109052,58,58,7,31,66,89,66,232,125,32,2,180,208,7.14,17.65,24.67,50.53,10.47,51.18,33.17,3.66,49.58,50.42,23.16,75.54,25.309476
san andres de sotavento,80940,43106,44032,44956,46564,49500,50924,51003,51294,51813,52302,48610,48215,45,68,12,42,19,13,30,73,9,8,1,7,125,9.03,21.57,28.45,40.96,19.15,42.74,17.27,3.27,52.0,48.0,70.21,90.08,28.038690000000003
san antero,28169,28456,28786,29082,29299,29418,29537,29843,30475,31628,32866,33878,34520,3,2,1,0,4,12,12,55,10,3,1,20,122,9.02,19.0,26.21,45.77,10.28,51.95,26.4,8.41,49.73,50.27,24.45,79.38,40.628272
san bernardo del viento,33391,33922,34289,34611,34937,35230,35513,35849,36200,36562,36763,37007,37052,0,3,0,1,3,11,14,39,3,5,4,27,88,7.96,20.21,24.66,47.18,11.32,45.2,28.65,3.08,50.39,49.61,36.46,85.1,25.327103
san carlos,24814,25151,25348,25566,25750,25951,26127,26348,26606,26829,26919,26954,27174,4,9,7,6,12,12,13,39,14,5,1,9,45,7.63,19.09,24.12,49.15,12.55,43.93,29.16,2.73,51.3,48.7,59.55,84.93,12.833663
san jose de ure,0,7824,7932,7990,8101,8231,8457,8768,9177,9790,10536,13345,13584,0,0,0,0,0,1,11,5,11,0,2,54,2,9.61,25.63,26.85,37.91,15.67,38.7,29.97,1.84,52.06,47.94,50.19,81.29,4.972868
san pelayo,44894,46161,46906,47546,48199,48771,49369,49987,50592,51175,51578,51838,52481,0,35,5,1,22,14,142,110,21,3,3,32,75,6.51,16.53,24.13,52.83,8.9,51.53,28.85,4.54,50.62,49.38,53.0,88.35,24.257206
tierralta,83260,84428,85490,86565,87501,88339,89156,89786,90228,90558,90988,92349,93873,14,108,69,123,106,55,115,55,22,26,75,180,110,10.35,23.52,26.23,39.89,13.47,40.61,28.72,2.92,50.68,49.32,51.76,80.56,4.34408
