municipal,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,cases_2007,cases_2008,cases_2009,cases_2010,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,age_0_to_4,age_5_to_14,age_15_to_29,age_30_and_up,illiterate,secondary_education,employed,unemployed,men,women,households_without_water_access,households_without_internet_access,houses_per_km2
medellin,2286126,2309689,2331389,2353410,2379920,2410046,2428850,2436071,2431666,2420516,2414616,2427129,2483545,5,902,413,15570,802,713,2342,3161,3785,17306,2100,1172,1276,5.16,11.96,26.71,56.16,3.17,67.43,43.23,5.64,47.01,52.99,1.44,29.47,2102.057895
abejorral,20643,20944,21197,21355,20973,20067,19732,19796,19897,19979,20047,20367,20258,0,1,0,79,1,0,0,0,2,5,1,2,0,5.24,14.92,22.29,57.55,9.89,33.65,39.6,0.89,51.93,48.07,21.87,56.27,11.945674
abriaqui,2261,2290,2321,2353,2386,2424,2471,2488,2514,2539,2593,2695,2710,0,0,0,3,0,0,0,0,0,2,0,1,2,6.07,14.08,23.76,56.09,6.72,45.72,36.78,1.85,54.24,45.76,24.03,62.35,2.548276
alejandria,3935,4020,4096,4171,4244,4337,4419,4467,4511,4543,4570,4657,4669,0,0,0,5,0,0,1,0,0,5,0,0,0,6.59,15.73,21.91,55.77,8.75,38.79,37.07,1.25,49.8,50.2,17.06,54.61,9.092715
amaga,27996,28331,28624,28839,28776,28371,28259,28432,28691,29006,29429,30227,30777,0,2,1,297,13,3,3,3,120,196,17,3,16,5.42,13.36,25.71,55.5,7.68,51.67,39.21,3.36,49.37,50.63,3.31,56.12,102.752941
amalfi,21363,21745,22124,22515,22937,23380,23787,24145,24444,24794,25205,25962,26552,0,3,0,0,1,3,2,3,5,4,2,3,6,6.5,17.97,26.95,48.58,10.2,40.78,38.31,2.74,50.22,49.78,31.18,59.46,5.373366000000001
andes,41223,41480,41830,42159,42281,42105,42118,42328,42495,42564,42614,43269,43713,0,3,1,40,3,0,5,9,14,188,6,2,1,5.79,14.73,25.3,54.18,10.08,41.52,38.89,1.98,51.85,48.15,26.47,66.17,26.946548
angelopolis,7868,7966,8029,7973,7291,6102,5684,5651,5659,5649,5669,5756,5790,0,0,0,1,0,0,0,1,1,5,0,0,0,5.57,14.64,24.47,55.32,9.57,41.62,39.07,1.93,50.49,49.51,8.39,45.96,19.735632
angostura,10559,10441,10499,10611,10744,10884,11007,11096,11174,11210,11241,11437,11462,0,0,0,2,0,0,0,2,4,1,0,0,0,6.67,17.38,26.59,49.36,12.69,34.75,34.38,2.53,50.73,49.27,19.29,68.53,7.994897999999999
anori,10108,10305,10545,10776,11077,11471,12077,13067,14568,16180,17394,18321,18737,0,7,0,6,1,1,3,10,21,3,4,3,16,7.71,20.7,28.59,43.0,10.87,35.8,35.21,2.63,51.74,48.26,33.61,62.39,3.1783
santa fe de antioquia,23401,23663,23928,24215,24525,24855,25136,25347,25489,25600,25727,26164,26598,3,18,82,305,23,18,110,104,129,115,22,10,85,6.08,15.37,25.56,52.98,8.67,48.17,40.01,3.86,49.69,50.31,6.15,46.8,15.466934
anza,6621,6591,6610,6667,6721,6792,6831,6872,6903,6910,6905,7010,7085,0,1,0,37,20,0,9,28,2,0,1,0,5,6.78,16.69,26.0,50.53,13.79,32.65,39.25,1.85,51.72,48.28,18.0,68.05,8.191406
apartado,113220,111883,112089,112914,114241,115856,117088,117992,118489,118802,119318,121003,124647,1,89,53,48,67,98,103,119,85,76,138,387,578,7.72,18.42,29.13,44.72,6.08,57.72,36.3,5.54,49.22,50.78,6.81,49.8,57.013180000000006
arboletes,30737,30949,31226,31366,30695,29209,28676,28728,28808,28865,28862,29295,29942,0,49,12,5,15,54,41,27,44,51,50,96,49,8.22,21.14,24.66,45.98,11.95,45.47,25.86,6.06,50.3,49.7,34.7,78.56,10.130919
argelia,7083,7170,7279,7377,7482,7585,7665,7734,7759,7727,7676,7689,7577,0,0,0,3,0,0,0,2,0,2,0,1,0,6.83,18.6,24.23,50.34,9.85,37.35,36.97,1.91,51.75,48.25,22.68,62.63,8.743191
armenia,5301,5359,5418,5473,5458,5405,5396,5388,5321,5218,5123,5139,5085,1,13,1,15,2,2,2,9,9,16,0,0,1,4.4,13.14,18.43,64.02,16.52,33.67,36.45,2.44,50.07,49.93,17.59,59.92,12.378378
barbosa,44052,44568,45077,45585,46201,46818,47312,47765,48268,48938,49978,51969,53242,0,2,12,100,21,13,37,14,17,125,107,78,40,5.01,13.2,25.06,56.73,5.92,54.85,42.58,4.04,49.62,50.38,22.69,56.29,76.572115
belmira,5846,5848,5880,5923,5916,5854,5859,5884,5908,5917,5911,6000,6054,0,1,0,0,0,0,0,0,0,3,0,1,0,6.26,17.48,27.0,49.26,7.63,45.13,39.04,1.03,50.83,49.17,28.28,55.99,5.526882
bello,384814,388988,393035,397639,405040,417010,427104,437979,455952,481333,504580,522264,538527,2,152,93,1362,151,140,456,640,605,1749,204,89,88,5.6,12.86,27.85,53.69,3.01,66.68,41.82,5.41,48.14,51.86,5.89,32.23,1092.288732
betania,10445,10558,10670,10732,10602,10255,10105,10123,10153,10161,10168,10323,10274,0,0,0,20,0,0,2,3,4,115,11,3,2,6.21,16.6,25.02,52.17,12.56,34.14,37.7,1.28,52.12,47.88,30.44,61.11,15.252941
betulia,15933,15973,16074,16165,15968,15436,15259,15317,15362,15374,15384,15607,15736,0,4,1,6,0,2,2,2,2,49,12,8,1,6.94,17.83,26.19,49.04,14.65,33.07,38.71,1.07,51.38,48.62,19.34,62.6,18.470588
ciudad bolivar,28998,29324,29638,29987,30336,30676,30794,30404,29245,27585,26369,26118,26160,13,30,57,374,30,9,53,40,47,84,18,9,10,5.6,15.3,24.07,55.02,10.92,42.22,39.08,2.54,50.01,49.99,15.7,58.26,25.754386
briceno,8189,8280,8372,8426,8307,7991,7848,7853,7889,7895,7906,8039,8065,0,0,0,0,0,2,3,2,2,1,4,27,7,7.47,22.22,26.15,44.16,13.25,31.74,21.51,13.52,51.65,48.35,31.33,69.5,4.714286
buritica,6871,7030,7180,7348,7518,7688,7856,8020,8203,8488,8839,9354,9502,0,0,0,1,0,0,1,1,3,12,26,1,10,7.27,18.05,27.28,47.4,11.04,36.42,34.26,3.47,52.3,47.7,11.99,68.38,5.880434999999999
caceres,28252,28501,28754,28999,28916,28447,28350,28459,28573,28609,28572,28996,29716,0,4,15,19,7,10,17,62,21,8,5,80,25,9.0,23.81,26.17,41.02,15.39,34.5,30.5,2.41,52.13,47.87,52.6,74.05,3.767034
caicedo,7617,7663,7731,7809,7922,8002,8077,8139,8168,8174,8164,8297,8420,0,0,0,2,1,1,0,0,1,8,1,0,0,7.34,18.27,26.7,47.69,11.81,33.6,28.85,9.6,50.38,49.62,16.71,65.24,10.063348
caldas,70408,71196,71954,72728,73675,74721,75547,76210,76756,77356,78178,79638,81658,0,0,0,0,0,7,16,15,18,174,5,7,13,4.62,11.2,25.42,58.75,3.41,63.0,43.95,4.0,47.98,52.02,4.41,32.91,181.827068
campamento,3926,4283,4804,5497,6317,7130,7803,8298,8619,8820,8961,9203,9202,0,0,0,1,1,0,0,4,0,3,0,0,0,6.49,20.22,26.0,47.3,14.36,28.43,37.02,1.04,51.6,48.4,32.32,64.87,10.945
canasgordas,17159,17364,17528,17556,17025,15827,15251,15219,15262,15298,15296,15523,15490,0,2,6,1,6,2,27,2,75,26,6,1,3,6.36,16.75,24.44,52.45,10.24,43.16,33.95,5.68,50.62,49.38,28.09,74.13,11.161125
caracoli,4880,4943,5007,5055,5119,5175,5207,5198,5134,4934,4695,4582,4537,0,3,0,0,3,0,17,37,5,5,3,3,16,5.55,14.12,21.05,59.29,10.26,39.93,42.27,1.87,50.59,49.41,12.33,61.02,5.711538
caramanta,5536,5605,5663,5712,5791,5858,5863,5807,5591,5204,4867,4743,4670,0,1,0,0,0,0,0,0,0,1,0,0,0,4.33,15.2,20.17,60.3,8.15,40.08,36.71,2.44,50.32,49.68,14.4,64.4,17.511627999999998
carepa,43367,43811,44269,44758,45325,45965,46453,46812,46999,47085,47252,47932,49659,1,24,53,72,51,74,55,68,64,101,15,93,103,8.05,20.3,29.99,41.66,7.72,51.88,33.77,3.33,50.05,49.95,14.24,65.81,36.342105
el carmen de viboral,43071,44046,45023,46124,47351,48746,50112,51514,53139,55075,57093,59416,61122,0,2,0,3,1,0,3,4,2,5,1,0,0,6.7,14.56,26.74,52.0,5.81,57.15,44.87,2.44,49.51,50.49,4.45,44.67,36.716518
carolina,4013,4071,4113,4150,4213,4263,4301,4310,4259,4133,4000,3954,3954,0,0,0,0,1,1,0,0,0,1,0,1,0,3.86,11.85,21.51,62.79,6.67,57.43,35.0,6.46,49.24,50.76,9.72,52.63,6.3
caucasia,84996,85519,86268,87143,88224,89485,90429,91014,91203,90925,90361,90213,93044,0,63,23,70,86,51,35,56,105,57,16,95,69,8.44,19.63,26.94,45.0,8.24,52.03,35.8,4.8,48.43,51.57,11.07,59.36,17.38129
chigorodo,53220,52909,53102,53543,54186,54957,55534,55942,56201,56345,56584,57375,58684,0,14,9,24,17,50,44,52,7,16,18,134,161,8.17,20.39,28.91,42.54,9.73,51.04,33.22,5.84,48.39,51.61,16.38,64.79,27.006579
cisneros,9952,10056,10157,10257,10407,10542,10605,10630,10504,10251,9934,9775,9844,0,17,3,13,7,4,21,22,25,82,43,4,27,5.5,14.31,22.44,57.76,5.25,52.12,33.7,5.69,47.92,52.08,26.37,56.86,67.282609
cocorna,15182,15513,15849,16179,16506,16842,17079,17212,17147,16722,15960,15444,15042,0,1,0,3,0,2,0,1,1,38,2,1,17,7.14,16.13,23.07,53.67,10.05,38.57,32.27,5.91,49.4,50.6,19.55,53.6,24.17619
concepcion,4591,4663,4728,4793,4864,4935,5002,5049,5025,4946,4812,4797,4760,0,0,0,2,0,0,2,2,0,1,0,0,0,5.49,14.13,21.27,59.12,7.7,41.74,39.94,1.22,51.4,48.6,25.01,44.87,8.275449
concordia,21361,21507,21695,21844,21647,21079,20895,20941,21029,21039,21058,21377,21504,0,2,0,3,2,1,1,1,2,9,2,0,2,5.64,15.17,24.56,54.64,15.41,34.94,34.25,1.24,49.84,50.16,28.1,66.9,22.787879
copacabana,63607,64326,65009,65893,67830,71485,73815,74740,75253,75706,76394,77884,80000,0,17,5,221,7,5,41,188,70,283,38,14,35,4.6,11.72,25.55,58.13,3.37,67.44,44.25,4.36,48.49,51.51,3.62,29.21,350.728571
dabeiba,20480,20756,21017,21288,21608,21932,22174,22375,22525,22588,22653,23044,23255,1,26,0,73,13,29,30,5,12,6,6,3,145,10.12,22.6,26.28,41.0,18.3,32.84,33.01,2.56,50.83,49.17,41.07,74.91,3.435475
donmatias,17319,17368,17491,17679,17888,18126,18326,18455,18528,18575,18648,18902,19332,0,0,0,1,0,0,0,2,4,3,2,2,1,6.06,15.49,26.65,51.79,4.01,53.27,44.09,3.86,46.19,53.81,7.33,43.06,25.922652
ebejico,11481,11469,11538,11643,11724,11772,11837,11914,11968,11989,11978,12158,12108,0,0,1,11,0,2,2,0,6,46,3,3,0,4.51,13.74,19.84,61.92,12.07,35.36,36.42,1.98,51.12,48.88,6.73,63.41,16.195745000000002
el bagre,39872,40730,41530,42320,43218,44211,45185,46343,47756,49274,50497,51862,52925,1,2,5,16,20,25,23,73,38,66,102,89,323,9.0,23.44,27.06,40.5,11.77,42.67,33.22,4.69,50.06,49.94,21.29,62.86,8.172744999999999
entrerrios,8906,9074,9245,9430,9637,9848,10023,10211,10369,10541,10764,11159,11465,0,0,0,0,0,0,0,0,2,1,0,0,1,6.75,15.7,26.24,51.32,3.68,53.97,42.89,1.6,49.98,50.02,11.19,44.77,12.598174
envigado,183254,185567,187644,189745,192323,195445,198284,201482,206158,213188,221252,228848,236114,3,36,31,1453,29,22,75,82,77,437,77,43,61,3.82,9.34,21.76,65.09,1.47,77.33,46.62,4.31,46.11,53.89,0.93,11.07,937.884615
fredonia,23374,23656,23879,24073,23980,23559,23406,23523,23659,23743,23873,24408,24553,0,2,2,4,2,0,2,3,2,183,10,2,1,4.56,12.92,21.18,61.35,8.43,44.73,39.58,3.5,50.11,49.89,12.5,60.1,26.639676
frontino,19233,19440,19675,19911,20136,20397,20589,20700,20751,20674,20554,20739,20657,0,13,1,68,2,3,10,2,0,13,30,13,3,9.13,19.71,25.18,45.99,14.54,36.49,34.34,2.39,50.48,49.52,22.69,66.92,4.774272
giraldo,4411,4524,4630,4738,4840,4950,5055,5122,5225,5280,5364,5544,5652,0,0,0,0,0,1,2,0,2,1,0,1,2,7.26,17.62,24.8,50.33,6.49,42.83,36.86,3.99,51.51,48.49,9.42,64.63,16.15625
girardota,44118,44590,45079,45551,46163,46787,47308,47779,48238,48911,49965,51662,53162,0,130,1,251,19,16,68,113,29,69,2,2,17,4.95,12.39,25.78,56.88,4.13,63.62,41.4,4.54,49.15,50.85,8.29,38.02,194.871795
gomez plata,11544,11680,11790,11891,11844,11606,11333,10866,10208,9792,9662,9753,9828,0,0,0,1,0,0,3,1,3,3,2,0,2,5.1,14.61,20.8,59.49,6.53,44.08,36.17,5.08,50.38,49.62,15.91,50.67,8.252778
granada,10576,10788,10946,11090,11234,11371,11423,11367,11060,10544,10159,10117,9870,0,175,1,3,4,6,3,5,3,6,0,0,0,8.0,17.62,23.36,51.02,8.81,36.43,36.31,3.46,49.6,50.4,5.76,43.08,17.606557000000002
guadalupe,5971,5997,6056,6105,6180,6262,6316,6364,6396,6424,6435,6560,6607,0,0,0,0,0,3,0,1,1,3,1,0,0,5.94,16.12,25.57,52.37,10.84,39.82,33.73,4.37,51.01,48.99,31.73,69.25,20.045977
guarne,41494,42072,42665,43297,43977,44722,45427,46169,47228,48944,51574,55121,56774,0,1,0,7,1,0,5,4,1,10,1,0,0,5.27,11.83,25.53,57.37,4.22,60.41,41.98,3.27,49.56,50.44,6.46,34.15,86.695364
guatape,6089,6213,6329,6443,6586,6752,6939,7176,7506,7864,8124,8363,8548,0,0,0,1,0,0,1,1,3,23,2,0,1,5.87,13.21,24.3,56.62,2.74,59.48,42.58,2.3,48.62,51.38,1.74,32.98,35.362319
heliconia,6777,6861,6921,6958,6842,6513,6358,6299,6088,5777,5508,5451,5400,1,2,0,1,0,0,0,6,4,41,0,2,1,4.93,13.25,20.98,60.84,9.37,37.01,36.38,3.78,52.33,47.67,4.17,56.56,14.196581
hispania,5015,5081,5136,5181,5240,5269,5306,5341,5358,5366,5380,5469,5530,0,0,0,50,1,0,0,1,9,60,4,2,0,5.84,14.89,23.47,55.8,9.56,42.53,36.46,6.08,49.78,50.22,17.55,59.73,29.137931
itagui,245534,248561,251290,254095,257448,261360,264435,266789,268463,269966,272206,276744,283794,0,80,53,3489,106,98,742,302,251,2857,120,54,56,4.83,11.21,25.94,58.02,2.54,68.91,45.17,4.96,47.7,52.3,1.27,24.43,4876.176471
ituango,24635,24825,25062,25328,25645,25936,26161,26368,26492,26534,26589,27074,27419,0,0,1,13,3,6,2,3,8,103,3,0,2,5.93,15.82,27.19,51.05,11.92,41.9,24.71,3.57,61.07,38.93,28.54,64.64,2.368017
jardin,13623,13638,13743,13862,13934,14015,14105,14199,14255,14286,14309,14518,14662,0,3,0,5,0,2,1,2,3,14,0,4,3,5.56,14.01,23.23,57.2,6.71,48.05,40.88,2.16,50.01,49.99,14.59,63.42,19.15625
jerico,13461,13661,13818,13977,14161,14344,14416,14342,14067,13710,13536,13640,13637,0,1,0,6,1,0,1,7,2,22,5,1,0,4.85,12.3,21.15,61.69,7.45,48.72,37.08,4.12,49.57,50.43,9.76,55.62,19.735751
la ceja,48925,49587,50153,50747,51417,52249,53049,54117,55997,58995,62209,64889,66746,0,6,1,14,4,0,7,6,1,4,0,0,2,5.31,12.79,25.56,56.34,3.34,61.57,45.0,2.87,48.51,51.49,4.35,30.07,133.709924
la estrella,54002,53914,53384,52276,50820,49272,48520,50608,57441,65281,69425,71545,73696,0,9,3,418,8,3,22,29,22,223,12,2,17,4.87,11.57,25.48,58.07,2.99,68.36,47.91,3.81,48.36,51.64,2.32,27.0,620.371429
la pintada,7254,7337,7417,7508,7603,7706,7794,7873,7916,7936,8003,8114,8298,0,5,3,5,2,21,62,57,40,53,17,1,7,6.02,14.43,28.33,51.22,10.2,48.7,43.49,4.53,50.16,49.84,3.59,60.49,45.654545
la union,18549,18793,19077,19372,19690,20035,20202,20290,20450,20680,20958,21475,21963,0,0,1,0,0,1,2,1,0,4,0,1,0,6.03,15.02,26.64,52.31,6.07,47.14,46.36,1.66,49.7,50.3,11.82,58.71,30.979798
liborina,9103,9123,9214,9310,9435,9533,9630,9737,9797,9843,9842,10028,10040,0,1,0,9,0,0,19,9,7,39,83,4,3,5.73,16.68,21.34,56.26,8.82,40.63,32.13,1.22,51.49,48.51,7.08,51.46,11.737327
maceo,7737,7843,7921,7996,8030,8009,8018,8044,8076,8090,8108,8221,8218,0,7,7,64,5,4,6,1,6,17,5,13,141,6.84,17.31,23.0,52.86,10.07,40.78,39.73,2.66,49.98,50.02,21.98,62.62,5.807425
marinilla,51510,52711,53542,54299,55168,56190,57223,58396,59717,61174,62693,64645,66399,0,1,0,5,2,1,5,10,4,6,0,1,4,6.44,14.26,26.9,52.39,3.49,58.22,42.56,3.23,49.28,50.72,0.93,42.22,144.104348
montebello,7660,7744,7842,7907,7896,7782,7688,7511,7127,6802,6650,6680,6635,0,1,1,6,0,1,2,0,0,19,1,1,0,4.97,13.93,20.71,60.4,8.93,35.91,36.76,1.51,51.13,48.87,24.18,54.3,23.511628
murindo,3713,3803,3911,4014,4112,4216,4306,4395,4470,4553,4672,4911,5088,0,1,0,0,0,0,0,1,1,0,0,2,5,13.4,28.78,26.5,31.32,21.37,26.26,25.74,1.31,50.88,49.12,86.4,80.67,0.835434
mutata,9943,10063,10181,10314,10474,10702,11013,11490,12198,12895,13451,13991,14196,0,1,8,0,13,10,18,24,16,13,1,28,81,9.72,23.12,27.28,39.88,15.95,36.46,34.2,2.49,50.79,49.21,35.86,65.16,3.279385
narino,9427,9551,9665,9797,9928,10080,10175,10243,10254,10179,10087,10153,9997,0,3,1,0,0,0,8,2,3,1,0,0,0,6.32,17.78,22.79,53.1,12.61,32.13,36.49,1.88,51.32,48.68,35.52,62.7,9.057508
necocli,41657,41283,41396,41657,41673,41333,41274,41480,41642,41678,41663,42281,43257,0,42,35,14,28,21,104,187,108,93,255,183,359,8.98,23.66,26.63,40.72,11.57,43.24,27.9,4.45,49.7,50.3,45.63,68.74,7.847171
nechi,18288,18485,18693,18916,19188,19492,19858,20344,21201,22598,24221,25790,26652,0,2,0,9,3,5,2,7,1,4,7,207,145,8.96,24.2,25.63,41.22,10.94,40.36,35.15,2.52,51.4,48.6,33.62,75.87,7.182713000000001
olaya,2950,2975,3008,3045,3062,3040,3049,3075,3080,3083,3077,3127,3150,0,0,0,1,1,0,11,0,1,8,4,0,2,5.77,15.41,21.96,56.86,10.85,41.89,36.56,2.83,50.97,49.03,5.61,55.9,10.677778
penol,16958,17286,17581,17897,18231,18605,18954,19307,19675,20076,20463,21049,21427,0,0,0,0,0,2,0,1,3,4,0,0,3,6.2,13.84,24.34,55.62,4.48,49.84,39.86,3.99,48.66,51.34,4.09,45.36,42.461538
peque,7123,7148,7225,7325,7438,7560,7654,7752,7838,7861,7929,8097,8186,0,0,0,66,6,3,2,0,0,58,4,1,0,8.06,19.08,26.43,46.43,15.61,31.81,38.67,1.12,52.96,47.04,3.08,62.09,5.390306
pueblorrico,8440,8549,8630,8715,8776,8799,8814,8819,8772,8681,8585,8664,8681,0,0,0,1,0,2,2,0,0,3,2,1,1,5.86,15.41,22.94,55.79,11.29,37.81,35.21,2.58,50.11,49.89,29.05,64.31,27.011628
puerto berrio,36122,36092,36304,36631,37100,37610,38027,38321,38476,38580,38763,39314,40048,3,168,73,96,81,40,175,56,67,53,35,30,199,6.42,16.38,25.63,51.57,8.59,50.38,39.18,4.72,50.08,49.92,5.35,54.34,10.164696
puerto nare,17208,17421,17596,17658,17066,15861,15345,15085,14687,14370,14208,14380,14384,0,24,26,9,12,32,24,23,15,11,6,6,44,6.01,17.18,21.28,55.53,9.14,46.66,34.7,5.91,50.55,49.45,10.32,59.77,6.480303
puerto triunfo,16998,17204,17382,17472,17069,16160,15904,16011,16198,16529,17081,18055,18550,1,11,4,32,5,5,16,45,35,13,8,1,34,6.83,16.32,29.17,47.68,8.03,47.76,36.86,4.13,55.08,44.92,5.21,64.48,13.905817
remedios,21643,22029,22430,22839,23291,23810,24264,24769,25399,26222,27182,28415,29061,1,10,9,15,1,5,18,25,20,42,8,1,97,8.11,19.98,27.76,44.15,10.0,40.51,37.52,1.71,49.95,50.05,21.45,59.85,3.623678
retiro,18128,18601,19076,19550,20047,20542,21007,21392,21773,22166,22697,23514,24185,0,2,0,5,0,3,4,1,4,3,0,0,0,4.8,11.95,22.57,60.68,4.0,62.78,47.1,2.29,49.01,50.99,7.51,28.98,24.92674
rionegro,104513,105810,107151,108636,110445,112599,114837,117418,120841,125285,130128,135465,139553,4,2,3,22,6,3,12,6,5,0,1,0,2,5.01,11.88,26.03,57.08,2.82,66.2,42.29,4.25,48.99,51.01,0.78,28.78,195.841837
sabanalarga,8243,8334,8393,8492,8607,8707,8783,8837,8879,8879,8907,9032,9155,0,6,1,12,1,0,13,4,4,4,2,0,1,7.76,18.73,26.98,46.53,8.9,36.4,29.26,4.75,52.38,47.62,13.74,52.04,9.367188
sabaneta,47429,48082,48660,49216,49921,50810,51904,54141,59273,68224,76937,82375,85484,0,15,4,454,11,5,19,30,20,104,20,10,20,4.76,9.27,24.0,61.98,1.7,76.86,50.65,3.78,46.57,53.43,0.21,9.98,1954.8
salgar,18726,18939,19132,19254,18941,18145,17854,17881,17939,17974,17983,18258,18218,0,1,2,2,0,0,19,29,5,22,1,0,5,5.92,16.73,24.64,52.71,13.94,33.23,41.62,0.82,50.68,49.32,37.62,72.46,12.454545
san andres de cuerquia,6161,6468,6628,6733,6839,6919,6983,7035,7077,7090,7115,7235,7240,0,0,0,0,0,1,2,5,4,4,1,0,38,7.86,18.54,26.26,47.34,7.23,40.44,34.0,3.89,51.26,48.74,32.33,58.35,10.926554
san carlos,14268,14700,14972,15202,15406,15615,15776,15889,15959,15985,16004,16247,15940,0,1,0,0,0,0,0,76,9,26,7,8,9,6.26,16.67,22.96,54.11,8.52,44.11,34.79,3.4,50.79,49.21,5.22,55.11,7.511396
san francisco,5393,5351,5371,5401,5447,5461,5486,5529,5538,5564,5567,5648,5776,0,0,0,0,0,0,2,4,4,0,2,0,0,7.74,19.7,23.63,48.93,15.36,33.4,33.42,1.16,50.05,49.95,18.65,55.52,4.696237
san jeronimo,12092,12408,12766,13138,13491,13870,14193,14477,14709,14877,15012,15361,15710,0,0,29,20,11,3,56,9,20,287,39,8,21,5.73,14.3,25.05,54.92,7.58,51.76,37.81,4.23,49.42,50.58,8.53,37.85,27.16129
san jose de la montana,3168,3204,3237,3269,3309,3359,3391,3427,3449,3478,3536,3646,3706,0,0,0,2,2,0,1,1,1,0,0,0,0,6.2,20.22,27.51,46.07,5.62,47.29,38.62,1.25,48.24,51.76,14.98,56.89,7.330709
san juan de uraba,19448,19424,19553,19693,19741,19615,19606,19686,19769,19791,19788,20093,20549,1,6,7,4,0,6,11,17,11,60,69,60,77,8.94,24.11,25.77,41.18,10.64,44.33,26.58,3.14,49.54,50.46,49.88,82.07,23.242678
san luis,11594,11934,12278,12588,12906,13212,13460,13593,13588,13365,13057,12995,13035,0,0,0,0,0,0,81,11,46,32,6,0,15,8.12,18.33,24.64,48.91,7.94,44.49,35.18,4.73,49.57,50.43,26.87,66.58,8.048565
san pedro de los milagros,22334,22534,22754,22994,23241,23449,23408,23035,22381,21902,21720,21949,22447,0,1,0,3,0,0,6,6,2,5,0,4,4,6.2,15.3,26.81,51.69,3.22,59.46,37.46,2.28,48.27,51.73,8.24,39.02,22.545852
san pedro de uraba,28331,28503,28755,29044,29410,29781,30051,30282,30403,30459,30480,30932,31571,2,16,4,15,11,34,67,39,12,13,25,164,82,7.27,22.78,25.83,44.12,11.02,41.79,28.13,2.85,51.46,48.54,45.9,78.62,16.903967
san rafael,14159,14383,14564,14727,14909,15078,15232,15351,15425,15451,15470,15698,15632,1,0,2,65,1,1,40,10,16,32,0,0,8,6.3,14.64,23.89,55.16,8.02,44.96,37.34,3.17,49.57,50.43,21.04,52.94,11.972376
san roque,18677,18971,19292,19656,20003,20312,20593,20835,21012,21120,21175,21519,21533,0,3,2,2,1,5,6,8,4,23,1,0,4,6.02,17.05,23.94,52.99,9.05,41.65,36.37,3.06,50.58,49.42,19.8,60.69,13.897959
san vicente ferrer,19867,20108,20327,20476,20197,19474,19358,19723,20277,20898,21429,22093,22258,1,4,0,5,2,5,3,0,5,2,0,0,0,5.99,14.31,25.03,54.67,6.59,43.92,40.83,2.04,51.65,48.35,7.89,51.28,23.271605
santa barbara,24222,24503,24771,25050,25330,25596,25820,26043,26172,26271,26350,26784,26944,0,0,0,39,2,5,6,5,5,304,33,15,7,4.45,13.7,22.11,59.74,7.94,45.6,39.2,2.4,49.69,50.31,10.02,58.15,40.497297
santa rosa de osos,30871,31167,31613,32114,32718,33354,33937,34464,34860,35196,35539,36318,37143,0,0,0,12,1,2,7,0,1,2,4,0,0,6.88,16.25,27.53,49.35,4.99,50.57,38.27,2.2,49.99,50.01,20.03,50.23,11.37764
santo domingo,11119,11211,11317,11437,11594,11757,11904,11991,12096,12156,12156,12394,12326,2,3,2,4,4,1,1,1,0,4,13,1,9,5.72,14.68,23.81,55.78,7.99,42.67,33.21,2.85,51.91,48.09,28.0,55.43,12.177122
el santuario,29741,30474,30967,31356,31825,32334,32768,33190,33586,34058,34591,35422,36043,0,0,1,5,2,0,1,3,5,2,1,1,0,7.81,16.92,25.16,50.11,5.29,49.1,39.39,2.19,47.59,52.41,4.35,49.66,117.48
segovia,34399,34662,34953,35306,35771,36284,36674,36959,37116,37199,37380,37900,38692,0,11,21,84,13,54,33,17,29,67,7,8,143,8.06,18.77,28.85,44.31,8.92,46.74,37.74,2.75,50.02,49.98,18.87,53.31,8.710804
sonson,38362,38808,39222,39420,38637,36781,35998,35974,35966,35882,35859,36321,36394,1,4,0,7,3,1,3,6,3,3,0,2,25,6.03,16.14,25.0,52.84,7.93,41.83,39.04,2.05,50.26,49.74,22.37,54.52,7.507181
sopetran,13809,13984,14127,14266,14391,14469,14551,14644,14725,14748,14794,15053,15293,0,53,24,37,18,2,51,32,33,37,4,6,8,5.55,13.99,23.85,56.61,6.85,50.12,41.49,2.23,50.22,49.78,7.17,45.47,21.632287
tamesis,16816,17009,17201,17383,17562,17708,17753,17722,17413,16837,16330,16281,16193,1,2,0,63,1,2,2,3,3,23,1,0,1,4.67,13.14,21.1,61.08,8.61,43.93,34.4,2.53,50.42,49.58,13.2,58.72,21.220408
taraza,31537,31891,32183,32160,30491,27247,26044,25990,26091,26212,26387,26964,27517,2,17,5,24,14,82,6,5,7,14,5,95,118,8.01,24.33,25.49,42.17,13.62,35.98,34.96,2.63,49.38,50.62,14.9,62.39,4.5410260000000005
tarso,7389,7471,7550,7619,7625,7568,7518,7370,6988,6516,6217,6184,6194,0,27,0,9,21,1,1,60,55,5,4,2,11,5.69,13.51,26.19,54.62,13.26,41.29,36.52,2.88,50.17,49.83,27.2,62.58,14.747899
titiribi,13729,13903,14012,14040,13382,12093,11603,11541,11445,11216,10895,10775,10716,0,0,0,28,0,1,0,2,10,145,6,1,17,4.44,12.47,21.81,61.28,9.44,43.49,35.68,2.6,49.52,50.48,7.67,56.87,19.542254
